"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 16:13:32 IST 2024","Wed Feb 14 16:13:40 IST 2024","7658","","DropDown","","","","should fetch all data from drop down menu",""
"passed","Wed Feb 14 16:13:19 IST 2024","Wed Feb 14 16:13:43 IST 2024","23845","","DropDown","","","","should fetch all data from drop down menu",""
"passed","Wed Feb 14 16:13:15 IST 2024","Wed Feb 14 16:13:41 IST 2024","25704","","DropDown","","","","should fetch all data from drop down menu",""
